Unidade,Nivel,Modalidade,DispositivoEmCasa,n,all.factor,all.raw_alpha,all.std.alpha,all.G6(smc),all.average_r,all.S/N,all.ase,all.mean,all.sd,all.median_r,ML1.factor,ML1.raw_alpha,ML1.std.alpha,ML1.G6(smc),ML1.average_r,ML1.S/N,ML1.ase,ML1.mean,ML1.sd,ML1.median_r,ML2.factor,ML2.raw_alpha,ML2.std.alpha,ML2.G6(smc),ML2.average_r,ML2.S/N,ML2.ase,ML2.mean,ML2.sd,ML2.median_r,ML3.factor,ML3.raw_alpha,ML3.std.alpha,ML3.G6(smc),ML3.average_r,ML3.S/N,ML3.ase,ML3.mean,ML3.sd,ML3.median_r,ML4.factor,ML4.raw_alpha,ML4.std.alpha,ML4.G6(smc),ML4.average_r,ML4.S/N,ML4.ase,ML4.mean,ML4.sd,ML4.median_r,ML5.factor,ML5.raw_alpha,ML5.std.alpha,ML5.G6(smc),ML5.average_r,ML5.S/N,ML5.ase,ML5.mean,ML5.sd,ML5.median_r,ML6.factor,ML6.raw_alpha,ML6.std.alpha,ML6.G6(smc),ML6.average_r,ML6.S/N,ML6.ase,ML6.mean,ML6.sd,ML6.median_r,INF.factor,INF.raw_alpha,INF.std.alpha,INF.G6(smc),INF.average_r,INF.S/N,INF.ase,INF.mean,INF.sd,INF.median_r,EXP.factor,EXP.raw_alpha,EXP.std.alpha,EXP.G6(smc),EXP.average_r,EXP.S/N,EXP.ase,EXP.mean,EXP.sd,EXP.median_r
NA,NA,NA,NA,4369,all,0.79,0.81,0.91,0.21,4.3,0,2.07,0.6,0.14,ML1,0.68,0.79,0.74,0.55,3.7,0,2.8,0.74,0.48,ML2,0.71,0.83,0.78,0.62,4.89,0,2.07,1.01,0.63,ML3,0.9,0.9,0.81,0.81,8.62,0,2.08,1.23,0.81,ML4,0.71,0.84,0.78,0.63,5.18,0,2.78,0.76,0.6,ML5,0.87,0.99,0.98,0.96,66.73,0,0.72,1.29,0.95,ML6,0.6,0.6,0.43,0.43,1.53,0.01,1.94,1.24,0.43,INF,0.74,0.78,0.9,0.23,3.61,0.01,2.09,0.6,0.12,EXP,0.74,0.74,0.76,0.42,2.91,0.01,2.01,1.03,0.33
"Instituto de Geografia, Desenvolvimento e Meio Ambiente - IGDEMA",NA,NA,NA,73,all,0.81,0.83,0.94,0.23,4.88,0.03,2.04,0.65,0.17,ML1,0.74,0.88,0.83,0.71,7.21,0.03,2.68,0.84,0.71,ML2,0.76,0.87,0.84,0.7,6.98,0.02,2,1.06,0.73,ML3,0.9,0.9,0.81,0.81,8.67,0.02,2.09,1.33,0.81,ML4,0.74,0.87,0.83,0.7,6.93,0.02,2.71,0.88,0.7,ML5,0.87,0.97,0.97,0.92,35,0.01,0.71,1.24,0.94,ML6,0.75,0.75,0.6,0.6,3.02,0.06,2.11,1.41,0.6,INF,0.74,0.79,0.94,0.24,3.72,0.04,2.02,0.62,0.13,EXP,0.8,0.81,0.82,0.51,4.16,0.04,2.1,1.18,0.44
Faculdade de Odontologia - FOUFAL,NA,NA,NA,106,all,0.74,0.75,0.9,0.17,3,0.04,1.89,0.5,0.12,ML1,0.76,0.77,0.63,0.63,3.4,0.04,3.75,0.89,0.63,ML2,0.72,0.83,0.79,0.62,4.98,0.03,1.9,1.01,0.64,ML3,0.92,0.93,0.86,0.86,12.34,0.01,1.64,1.22,0.86,ML4,0.73,0.86,0.82,0.68,6.26,0.02,2.74,0.77,0.63,ML5,0.88,1,1,0.99,223.43,0,0.11,0.58,0.99,ML6,0.4,0.4,0.25,0.25,0.67,0.12,1.67,1.08,0.25,INF,0.66,0.7,0.89,0.17,2.29,0.05,1.98,0.47,0.1,EXP,0.69,0.69,0.73,0.36,2.28,0.05,1.66,0.94,0.26
Campus CECA,NA,NA,NA,231,all,0.77,0.79,0.9,0.2,3.88,0.02,2.03,0.57,0.14,ML1,0.69,0.81,0.76,0.58,4.14,0.02,2.76,0.77,0.51,ML2,0.65,0.78,0.71,0.54,3.54,0.02,2.07,0.91,0.55,ML3,0.9,0.9,0.82,0.82,9.16,0.01,2.11,1.3,0.82,ML4,0.72,0.86,0.81,0.67,6.17,0.01,2.77,0.8,0.65,ML5,0.87,0.99,0.98,0.96,67.74,0,0.53,1.16,0.96,ML6,0.65,0.65,0.48,0.48,1.87,0.05,1.9,1.27,0.48,INF,0.72,0.77,0.9,0.22,3.32,0.03,2.03,0.55,0.11,EXP,0.76,0.77,0.78,0.45,3.33,0.03,2.01,1.09,0.38
"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",NA,NA,NA,790,all,0.78,0.81,0.9,0.21,4.26,0.01,1.86,0.56,0.14,ML1,0.66,0.77,0.71,0.53,3.33,0.01,2.67,0.73,0.46,ML2,0.67,0.78,0.72,0.54,3.46,0.01,1.88,0.94,0.53,ML3,0.9,0.9,0.82,0.82,8.93,0.01,1.79,1.17,0.82,ML4,0.73,0.87,0.82,0.68,6.48,0.01,2.61,0.82,0.67,ML5,0.88,0.99,0.98,0.96,67.17,0,0.42,1.02,0.96,ML6,0.54,0.54,0.37,0.37,1.17,0.03,1.74,1.18,0.37,INF,0.76,0.8,0.91,0.25,3.99,0.01,1.9,0.57,0.14,EXP,0.72,0.73,0.74,0.4,2.72,0.02,1.76,0.98,0.32
Instituto de Química e Biotecnologia - IQB,NA,NA,NA,120,all,0.8,0.83,0.93,0.24,4.93,0.03,2.14,0.57,0.16,ML1,0.69,0.78,0.74,0.54,3.5,0.02,2.82,0.74,0.43,ML2,0.62,0.78,0.72,0.55,3.62,0.04,2.44,0.82,0.59,ML3,0.9,0.9,0.82,0.82,9.28,0.02,2.15,1.07,0.82,ML4,0.68,0.81,0.75,0.59,4.27,0.03,2.77,0.7,0.55,ML5,0.88,0.99,0.99,0.97,90.91,0,0.7,1.28,0.97,ML6,0.48,0.48,0.32,0.32,0.94,0.09,1.89,1.17,0.32,INF,0.76,0.82,0.93,0.27,4.45,0.03,2.18,0.58,0.15,EXP,0.76,0.78,0.78,0.47,3.51,0.04,2.02,0.99,0.41
"Faculdade de Economia, Administração e Contabilidade - FEAC",NA,NA,NA,224,all,0.83,0.85,0.93,0.26,5.66,0.02,2.39,0.69,0.24,ML1,0.66,0.78,0.72,0.54,3.48,0.02,2.94,0.74,0.46,ML2,0.71,0.83,0.78,0.62,4.99,0.02,2.1,1.01,0.64,ML3,0.89,0.89,0.8,0.8,8,0.01,2.23,1.21,0.8,ML4,0.68,0.81,0.75,0.59,4.25,0.02,2.92,0.71,0.54,ML5,0.87,0.99,0.98,0.96,80.58,0,1.8,1.62,0.96,ML6,0.68,0.69,0.53,0.53,2.25,0.04,2.28,1.26,0.53,INF,0.79,0.82,0.92,0.28,4.64,0.02,2.44,0.71,0.23,EXP,0.78,0.79,0.79,0.48,3.72,0.02,2.25,1.06,0.43
"Instituto de Ciências Humanas, Comunicação e Artes - ICHCA",NA,NA,NA,256,all,0.8,0.82,0.92,0.22,4.53,0.02,2.03,0.63,0.16,ML1,0.73,0.85,0.8,0.65,5.54,0.01,2.66,0.85,0.61,ML2,0.66,0.79,0.72,0.55,3.71,0.02,2.14,0.95,0.55,ML3,0.89,0.89,0.8,0.8,8.19,0.01,1.97,1.24,0.8,ML4,0.73,0.86,0.81,0.68,6.29,0.01,2.74,0.79,0.64,ML5,0.87,0.98,0.97,0.95,51.96,0,0.87,1.36,0.94,ML6,0.68,0.68,0.51,0.51,2.12,0.04,1.65,1.28,0.51,INF,0.75,0.8,0.91,0.25,3.94,0.02,2.1,0.63,0.14,EXP,0.75,0.76,0.77,0.44,3.13,0.03,1.81,1.05,0.34
Faculdade de Nutrição - FANUT,NA,NA,NA,98,all,0.75,0.76,0.9,0.17,3.15,0.04,2.15,0.52,0.14,ML1,0.71,0.84,0.79,0.64,5.42,0.02,2.91,0.75,0.6,ML2,0.7,0.84,0.8,0.64,5.43,0.03,2.3,0.99,0.68,ML3,0.9,0.9,0.81,0.81,8.68,0.02,2.06,1.21,0.81,ML4,0.72,0.72,0.56,0.56,2.53,0.06,3.9,0.82,0.56,ML5,0.88,0.99,0.98,0.96,68.63,0,0.22,0.79,0.95,ML6,0.18,0.19,0.1,0.1,0.23,0.16,2.04,1.06,0.1,INF,0.71,0.73,0.9,0.2,2.74,0.04,2.19,0.51,0.12,EXP,0.62,0.65,0.67,0.31,1.82,0.06,2.05,0.92,0.24
Faculdade de Arquitetura e Urbanismo - FAU,NA,NA,NA,264,all,0.73,0.75,0.88,0.16,2.95,0.02,1.98,0.51,0.07,ML1,0.69,0.79,0.75,0.55,3.72,0.01,2.83,0.74,0.46,ML2,0.7,0.81,0.75,0.58,4.17,0.02,1.69,0.88,0.59,ML3,0.88,0.88,0.78,0.78,7.2,0.02,2.16,1.21,0.78,ML4,0.67,0.79,0.73,0.55,3.67,0.02,2.84,0.71,0.48,ML5,0.87,0.98,0.98,0.95,60.38,0,0.59,1.2,0.95,ML6,0.56,0.57,0.4,0.4,1.32,0.05,1.77,1.15,0.4,INF,0.68,0.72,0.87,0.18,2.56,0.03,1.99,0.52,0.06,EXP,0.69,0.7,0.72,0.37,2.31,0.03,1.96,0.96,0.27
